PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21261648","MicroRNA signatures of resveratrol in the ischemic heart","Mukhopadhyay P, Pacher P, Das DK.","Ann N Y Acad Sci. 2011 Jan;1215:109-16. doi: 10.1111/j.1749-6632.2010.05866.x.","Mukhopadhyay P","Ann N Y Acad Sci","2011","2011/01/26","PMC3059201","NIHMS249413","10.1111/j.1749-6632.2010.05866.x"
"24722296","Cardiac hypertrophy is negatively regulated by miR-541","Liu F, Li N, Long B, Fan YY, Liu CY, Zhou QY, Murtaza I, Wang K, Li PF.","Cell Death Dis. 2014 Apr 10;5(4):e1171. doi: 10.1038/cddis.2014.141.","Liu F","Cell Death Dis","2014","2014/04/12","PMC5424117","","10.1038/cddis.2014.141"
"31210328","MiRNA-488-3p suppresses acute myocardial infarction-induced cardiomyocyte apoptosis via targeting ZNF791","Zheng HF, Sun J, Zou ZY, Zhang Y, Hou GY.","Eur Rev Med Pharmacol Sci. 2019 Jun;23(11):4932-4939. doi: 10.26355/eurrev_201906_18083.","Zheng HF","Eur Rev Med Pharmacol Sci","2019","2019/06/19","","","10.26355/eurrev_201906_18083"
"19628922","MicroRNA is a new diagnostic and therapeutic target for cardiovascular disease and regenerative medicine","Kaneda R, Fukuda K.","Circ J. 2009 Aug;73(8):1397-8. doi: 10.1253/circj.cj-09-0435.","Kaneda R","Circ J","2009","2009/07/25","","","10.1253/circj.cj-09-0435"
"33807406","Upregulated Angiogenesis Is Incompetent to Rescue Dilated Cardiomyopathy Phenotype in Mice","Arif M, Alam P, Ahmed RP, Pandey R, Faridi HM, Sadayappan S.","Cells. 2021 Mar 31;10(4):771. doi: 10.3390/cells10040771.","Arif M","Cells","2021","2021/04/03","PMC8066105","","10.3390/cells10040771"
"26160071","miR-199a impairs autophagy and induces cardiac hypertrophy through mTOR activation","Li Z, Song Y, Liu L, Hou N, An X, Zhan D, Li Y, Zhou L, Li P, Yu L, Xia J, Zhang Y, Wang J, Yang X.","Cell Death Differ. 2017 Jul;24(7):1205-1213. doi: 10.1038/cdd.2015.95. Epub 2015 Jul 10.","Li Z","Cell Death Differ","2017","2015/07/11","PMC5520159","","10.1038/cdd.2015.95"
"30559069","Therapeutic Delivery of miR-148a Suppresses Ventricular Dilation in Heart Failure","Raso A, Dirkx E, Philippen LE, Fernandez-Celis A, De Majo F, Sampaio-Pinto V, Sansonetti M, Juni R, El Azzouzi H, Calore M, Bitsch N, Olieslagers S, Oerlemans MIFJ, Huibers MM, de Weger RA, Reckman YJ, Pinto YM, Zentilin L, Zacchigna S, Giacca M, da Costa Martins PA, López-Andrés N, De Windt LJ.","Mol Ther. 2019 Mar 6;27(3):584-599. doi: 10.1016/j.ymthe.2018.11.011. Epub 2018 Nov 17.","Raso A","Mol Ther","2019","2018/12/19","PMC6403487","","10.1016/j.ymthe.2018.11.011"
"29536899","microRNA assays for acute coronary syndromes","Shirvani Samani O, Meder B.","Diagnosis (Berl). 2016 Dec 1;3(4):183-188. doi: 10.1515/dx-2016-0025.","Shirvani Samani O","Diagnosis (Berl)","2016","2018/03/15","","","10.1515/dx-2016-0025"
"22052914","Inhibition of miR-15 protects against cardiac ischemic injury","Hullinger TG, Montgomery RL, Seto AG, Dickinson BA, Semus HM, Lynch JM, Dalby CM, Robinson K, Stack C, Latimer PA, Hare JM, Olson EN, van Rooij E.","Circ Res. 2012 Jan 6;110(1):71-81. doi: 10.1161/CIRCRESAHA.111.244442. Epub 2011 Nov 3.","Hullinger TG","Circ Res","2012","2011/11/05","PMC3354618","NIHMS375751","10.1161/CIRCRESAHA.111.244442"
"26065643","Spironolactone Regulates HCN Protein Expression Through Micro-RNA-1 in Rats With Myocardial Infarction","Yu HD, Xia S, Zha CQ, Deng SB, Du JL, She Q.","J Cardiovasc Pharmacol. 2015 Jun;65(6):587-92. doi: 10.1097/FJC.0000000000000227.","Yu HD","J Cardiovasc Pharmacol","2015","2015/06/13","PMC4461389","","10.1097/FJC.0000000000000227"
"30355233","miR-146a Suppresses SUMO1 Expression and Induces Cardiac Dysfunction in Maladaptive Hypertrophy","Oh JG, Watanabe S, Lee A, Gorski PA, Lee P, Jeong D, Liang L, Liang Y, Baccarini A, Sahoo S, Brown BD, Hajjar RJ, Kho C.","Circ Res. 2018 Aug 31;123(6):673-685. doi: 10.1161/CIRCRESAHA.118.312751.","Oh JG","Circ Res","2018","2018/10/26","PMC6205728","NIHMS1503077","10.1161/CIRCRESAHA.118.312751"
"27213335","Differential MicroRNA Expression Profile in Myxomatous Mitral Valve Prolapse and Fibroelastic Deficiency Valves","Chen YT, Wang J, Wee AS, Yong QW, Tay EL, Woo CC, Sorokin V, Richards AM, Ling LH.","Int J Mol Sci. 2016 May 18;17(5):753. doi: 10.3390/ijms17050753.","Chen YT","Int J Mol Sci","2016","2016/05/24","PMC4881574","","10.3390/ijms17050753"
"29373037","Myocardial infarction-induced microRNA-enriched exosomes contribute to cardiac Nrf2 dysregulation in chronic heart failure","Tian C, Gao L, Zimmerman MC, Zucker IH.","Am J Physiol Heart Circ Physiol. 2018 May 1;314(5):H928-H939. doi: 10.1152/ajpheart.00602.2017. Epub 2018 Jan 26.","Tian C","Am J Physiol Heart Circ Physiol","2018","2018/01/27","PMC6008149","","10.1152/ajpheart.00602.2017"
"26699387","Sympathoexcitation in Rats With Chronic Heart Failure Depends on Homeobox D10 and MicroRNA-7b Inhibiting GABBR1 Translation in Paraventricular Nucleus","Wang R, Huang Q, Zhou R, Dong Z, Qi Y, Li H, Wei X, Wu H, Wang H, Wilcox CS, Hultström M, Zhou X, Lai EY.","Circ Heart Fail. 2016 Jan;9(1):e002261. doi: 10.1161/CIRCHEARTFAILURE.115.002261. Epub 2015 Dec 23.","Wang R","Circ Heart Fail","2016","2015/12/25","PMC4692171","NIHMS739313","10.1161/CIRCHEARTFAILURE.115.002261"
"34376255","Clinical value and role of microRNA-29c-3p in sepsis-induced inflammation and cardiac dysfunction","Zhang B, Yu L, Sheng Y.","Eur J Med Res. 2021 Aug 10;26(1):90. doi: 10.1186/s40001-021-00566-y.","Zhang B","Eur J Med Res","2021","2021/08/11","PMC8353850","","10.1186/s40001-021-00566-y"
"32331346","Sorting Mechanisms for MicroRNAs into Extracellular Vesicles and Their Associated Diseases","Groot M, Lee H.","Cells. 2020 Apr 22;9(4):1044. doi: 10.3390/cells9041044.","Groot M","Cells","2020","2020/04/26","PMC7226101","","10.3390/cells9041044"
"30745540","Serum Circulating miR-150 is a Predictor of Post-Acute Myocardial Infarction Heart Failure","Lin X, Zhang S, Huo Z.","Int Heart J. 2019 Mar 20;60(2):280-286. doi: 10.1536/ihj.18-306. Epub 2019 Feb 8.","Lin X","Int Heart J","2019","2019/02/13","","","10.1536/ihj.18-306"
"33294032","Long Noncoding RNA HOTAIR Functions as a Competitive Endogenous RNA to Regulate Connexin43 Remodeling in Atrial Fibrillation by Sponging MicroRNA-613","Dai W, Chao X, Li S, Zhou S, Zhong G, Jiang Z.","Cardiovasc Ther. 2020 Nov 17;2020:5925342. doi: 10.1155/2020/5925342. eCollection 2020.","Dai W","Cardiovasc Ther","2020","2020/12/09","PMC7688347","","10.1155/2020/5925342"
"32813736","Relations between plasma microRNAs, echocardiographic markers of atrial remodeling, and atrial fibrillation: Data from the Framingham Offspring study","Vaze A, Tran KV, Tanriverdi K, Sardana M, Lessard D, Donahue JK, Barton B, Aurigemma G, Lubitz SA, Lin H, Nasr GH, Mandapati A, Benjamin EJ, Vasan RS, Freedman JE, McManus DD.","PLoS One. 2020 Aug 19;15(8):e0236960. doi: 10.1371/journal.pone.0236960. eCollection 2020.","Vaze A","PLoS One","2020","2020/08/20","PMC7437902","","10.1371/journal.pone.0236960"
"27292200","Endomyocardial miR-133a levels correlate with myocardial inflammation, improved left ventricular function, and clinical outcome in patients with inflammatory cardiomyopathy","Besler C, Urban D, Watzka S, Lang D, Rommel KP, Kandolf R, Klingel K, Thiele H, Linke A, Schuler G, Adams V, Lurz P.","Eur J Heart Fail. 2016 Dec;18(12):1442-1451. doi: 10.1002/ejhf.579. Epub 2016 Jun 13.","Besler C","Eur J Heart Fail","2016","2016/06/14","","","10.1002/ejhf.579"
"32903262","Mediterranean diet and endothelial function in patients with coronary heart disease: An analysis of the CORDIOPREV randomized controlled trial","Yubero-Serrano EM, Fernandez-Gandara C, Garcia-Rios A, Rangel-Zuñiga OA, Gutierrez-Mariscal FM, Torres-Peña JD, Marin C, Lopez-Moreno J, Castaño JP, Delgado-Lista J, Ordovas JM, Perez-Martinez P, Lopez-Miranda J.","PLoS Med. 2020 Sep 9;17(9):e1003282. doi: 10.1371/journal.pmed.1003282. eCollection 2020 Sep.","Yubero-Serrano EM","PLoS Med","2020","2020/09/09","PMC7480872","","10.1371/journal.pmed.1003282"
"31225989","STAT4 silencing underlies a novel inhibitory role of microRNA-141-3p in inflammation response of mice with experimental autoimmune myocarditis","Pan A, Tan Y, Wang Z, Xu G.","Am J Physiol Heart Circ Physiol. 2019 Sep 1;317(3):H531-H540. doi: 10.1152/ajpheart.00048.2019. Epub 2019 Jun 21.","Pan A","Am J Physiol Heart Circ Physiol","2019","2019/06/22","","","10.1152/ajpheart.00048.2019"
"27357636","Identifying circulating microRNAs as biomarkers of cardiovascular disease: a systematic review","Navickas R, Gal D, Laucevičius A, Taparauskaitė A, Zdanytė M, Holvoet P.","Cardiovasc Res. 2016 Sep;111(4):322-37. doi: 10.1093/cvr/cvw174. Epub 2016 Jun 29.","Navickas R","Cardiovasc Res","2016","2016/07/01","PMC4996262","","10.1093/cvr/cvw174"
"26738985","Apoptosis-related microRNA changes in the right atrium induced by remote ischemic perconditioning during valve replacement surgery","Hu Q, Luo W, Huang L, Huang R, Chen R.","Sci Rep. 2016 Jan 7;6:18959. doi: 10.1038/srep18959.","Hu Q","Sci Rep","2016","2016/01/08","PMC4704063","","10.1038/srep18959"
"28287427","The Role and Molecular Mechanism of Non-Coding RNAs in Pathological Cardiac Remodeling","Gao J, Xu W, Wang J, Wang K, Li P.","Int J Mol Sci. 2017 Mar 10;18(3):608. doi: 10.3390/ijms18030608.","Gao J","Int J Mol Sci","2017","2017/03/14","PMC5372624","","10.3390/ijms18030608"
"34474768","Diagnostic accuracy of MicroRNA 208b level with respect to different types of atrial fibrillation","Paul A, Pai PG, Ariyannur PS, Joy RA.","Indian Heart J. 2021 Jul-Aug;73(4):506-510. doi: 10.1016/j.ihj.2021.06.018. Epub 2021 Jul 1.","Paul A","Indian Heart J","2021","2021/09/03","PMC8424364","","10.1016/j.ihj.2021.06.018"
"36140705","Circular RNAs: New Players in Cardiomyopathy","Bagheri Moghaddam M, Maleki M, Oveisee M, Bagheri Moghaddam M, Arabian M, Malakootian M.","Genes (Basel). 2022 Aug 26;13(9):1537. doi: 10.3390/genes13091537.","Bagheri Moghaddam M","Genes (Basel)","2022","2022/09/23","PMC9498503","","10.3390/genes13091537"
"24809446","MicroRNAs in cardiac arrhythmia: DNA sequence variation of MiR-1 and MiR-133A in long QT syndrome","Hedley PL, Carlsen AL, Christiansen KM, Kanters JK, Behr ER, Corfield VA, Christiansen M.","Scand J Clin Lab Invest. 2014 Sep;74(6):485-91. doi: 10.3109/00365513.2014.905696. Epub 2014 May 8.","Hedley PL","Scand J Clin Lab Invest","2014","2014/05/10","PMC4196592","","10.3109/00365513.2014.905696"
"35943303","Reply to Letter to the Editor: ""Circulating MicroRNA-423-5p in Hypertensive Patients with Heart Failure: Correspondence""","Huang Y, Zhang Y, Nong W, Lan B, Zhang D.","Anatol J Cardiol. 2022 Sep;26(9):741. doi: 10.5152/AnatolJCardiol.2022.2060.","Huang Y","Anatol J Cardiol","2022","2022/08/09","PMC9524198","","10.5152/AnatolJCardiol.2022.2060"
"29848477","Circulating MicroRNA-21 Correlates With Left Atrial Low-Voltage Areas and Is Associated With Procedure Outcome in Patients Undergoing Atrial Fibrillation Ablation","Zhou Q, Maleck C, von Ungern-Sternberg SNI, Neupane B, Heinzmann D, Marquardt J, Duckheim M, Scheckenbach C, Stimpfle F, Gawaz M, Schreieck J, Seizer P, Gramlich M.","Circ Arrhythm Electrophysiol. 2018 Jun;11(6):e006242. doi: 10.1161/CIRCEP.118.006242.","Zhou Q","Circ Arrhythm Electrophysiol","2018","2018/06/01","PMC7661044","","10.1161/CIRCEP.118.006242"
"31730013","MicroRNA-326-5p enhances therapeutic potential of endothelial progenitor cells for myocardial infarction","Li X, Xue X, Sun Y, Chen L, Zhao T, Yang W, Chen Y, Zhang Z.","Stem Cell Res Ther. 2019 Nov 15;10(1):323. doi: 10.1186/s13287-019-1413-8.","Li X","Stem Cell Res Ther","2019","2019/11/16","PMC6858781","","10.1186/s13287-019-1413-8"
"32271829","Insights from circulating microRNAs in cardiovascular entities in turner syndrome patients","Abu-Halima M, Oberhoffer FS, El Rahman MA, Jung AM, Zemlin M, Rohrer TR, Kahraman M, Keller A, Meese E, Abdul-Khaliq H.","PLoS One. 2020 Apr 9;15(4):e0231402. doi: 10.1371/journal.pone.0231402. eCollection 2020.","Abu-Halima M","PLoS One","2020","2020/04/10","PMC7145016","","10.1371/journal.pone.0231402"
"34509057","Expression levels of serum circulating microRNAs in pediatric patients with ventricular and supraventricular arrhythmias","Moric-Janiszewska E, Smolik S, Morka A, Szydłowski L, Kapral M.","Adv Med Sci. 2021 Sep;66(2):411-417. doi: 10.1016/j.advms.2021.08.003. Epub 2021 Sep 9.","Moric-Janiszewska E","Adv Med Sci","2021","2021/09/11","","","10.1016/j.advms.2021.08.003"
"33063376","Research on the circular RNA bioinformatics in patients with acute myocardial infarction","Yin L, Tang Y, Jiang M.","J Clin Lab Anal. 2021 Feb;35(2):e23621. doi: 10.1002/jcla.23621. Epub 2020 Oct 15.","Yin L","J Clin Lab Anal","2021","2020/10/16","PMC7891515","","10.1002/jcla.23621"
"35943304","Circulating MicroRNA-423-5p in Hypertensive Patients with Heart Failure: Correspondence","Mungmunpuntipantip R, Wiwanitkit V.","Anatol J Cardiol. 2022 Sep;26(9):740. doi: 10.5152/AnatolJCardiol.2022.2058.","Mungmunpuntipantip R","Anatol J Cardiol","2022","2022/08/09","PMC9524212","","10.5152/AnatolJCardiol.2022.2058"
"36631006","MicroRNA-155-5p in serum derived-exosomes promotes ischaemia-reperfusion injury by reducing CypD ubiquitination by NEDD4","Hu C, Liao J, Huang R, Su Q, He L.","ESC Heart Fail. 2023 Apr;10(2):1144-1157. doi: 10.1002/ehf2.14279. Epub 2023 Jan 11.","Hu C","ESC Heart Fail","2023","2023/01/11","PMC10053265","","10.1002/ehf2.14279"
"22004043","Bone marrow mesenchymal stem cells for post-myocardial infarction cardiac repair: microRNAs as novel regulators","Wen Z, Zheng S, Zhou C, Yuan W, Wang J, Wang T.","J Cell Mol Med. 2012 Apr;16(4):657-71. doi: 10.1111/j.1582-4934.2011.01471.x.","Wen Z","J Cell Mol Med","2012","2011/10/19","PMC3822837","","10.1111/j.1582-4934.2011.01471.x"
"29689549","Cardiomyocyte Derived miR-328 Promotes Cardiac Fibrosis by Paracrinely Regulating Adjacent Fibroblasts","Zhao D, Li C, Yan H, Li T, Qian M, Zheng N, Jiang H, Liu L, Xu B, Wu Q, Li X, Liang H, Shan H.","Cell Physiol Biochem. 2018;46(4):1555-1565. doi: 10.1159/000489201. Epub 2018 Apr 19.","Zhao D","Cell Physiol Biochem","2018","2018/04/25","","","10.1159/000489201"
"27574952","Functional Role and Mechanism of microRNA-28b in Atrial Myocyte in a Persistent Atrial Fibrillation Rat Model","Wang Y, Kang W, Wang X, Chen M, Qin Q, Guo M, Ge Z.","Med Sci Monit. 2016 Aug 30;22:3073-8. doi: 10.12659/msm.896780.","Wang Y","Med Sci Monit","2016","2016/08/31","PMC5008747","","10.12659/msm.896780"
"24628978","Overexpression of microRNA-99a attenuates heart remodelling and improves cardiac performance after myocardial infarction","Li Q, Xie J, Li R, Shi J, Sun J, Gu R, Ding L, Wang L, Xu B.","J Cell Mol Med. 2014 May;18(5):919-28. doi: 10.1111/jcmm.12242. Epub 2014 Mar 13.","Li Q","J Cell Mol Med","2014","2014/03/18","PMC4119397","","10.1111/jcmm.12242"
"25836573","Deep sequencing of cardiac microRNA-mRNA interactomes in clinical and experimental cardiomyopathy","Matkovich SJ, Dorn GW 2nd.","Methods Mol Biol. 2015;1299:27-49. doi: 10.1007/978-1-4939-2572-8_3.","Matkovich SJ","Methods Mol Biol","2015","2015/04/04","PMC5854147","NIHMS948082","10.1007/978-1-4939-2572-8_3"
"34632544","MicroRNA-324-3p Plays A Protective Role Against Coxsackievirus B3-Induced Viral Myocarditis","Liu T, Tong J, Shao C, Qu J, Wang H, Shi Y, Lin Y, Liu Y, Shao S, Shen H.","Virol Sin. 2021 Dec;36(6):1585-1599. doi: 10.1007/s12250-021-00441-4. Epub 2021 Oct 11.","Liu T","Virol Sin","2021","2021/10/11","PMC8692631","","10.1007/s12250-021-00441-4"
"34600049","Exploring potential genes and pathways related to calcific aortic valve disease","Qiao E, Huang Z, Wang W.","Gene. 2022 Jan 15;808:145987. doi: 10.1016/j.gene.2021.145987. Epub 2021 Sep 30.","Qiao E","Gene","2022","2021/10/02","","","10.1016/j.gene.2021.145987"
"34112320","MicroRNA-132 Inhibition Prevents Myocardial Hypertrophy and Heart Failure in Pigs: Making Sense Out of Antisense","Condorelli G, Ferrante G.","J Am Coll Cardiol. 2021 Jun 15;77(23):2936-2938. doi: 10.1016/j.jacc.2021.04.039.","Condorelli G","J Am Coll Cardiol","2021","2021/06/11","","","10.1016/j.jacc.2021.04.039"
"29094045","Effect of Wenxin Granules on Gap Junction and MiR-1 in Rats with Myocardial Infarction","Wu A, Zhao M, Lou L, Zhai J, Zhang D, Zhu H, Gao Y, Shang H, Chai L.","Biomed Res Int. 2017;2017:3495021. doi: 10.1155/2017/3495021. Epub 2017 Sep 28.","Wu A","Biomed Res Int","2017","2017/11/03","PMC5637836","","10.1155/2017/3495021"
"32908879","Overexpression of miR-150-5p Alleviates Apoptosis in Sepsis-Induced Myocardial Depression","Zhu XG, Zhang TN, Wen R, Liu CF.","Biomed Res Int. 2020 Aug 30;2020:3023186. doi: 10.1155/2020/3023186. eCollection 2020.","Zhu XG","Biomed Res Int","2020","2020/09/10","PMC7477614","","10.1155/2020/3023186"
"18787215","Integrating the MicroRNome into the study of lung disease","Nana-Sinkam SP, Hunter MG, Nuovo GJ, Schmittgen TD, Gelinas R, Galas D, Marsh CB.","Am J Respir Crit Care Med. 2009 Jan 1;179(1):4-10. doi: 10.1164/rccm.200807-1042PP. Epub 2008 Sep 11.","Nana-Sinkam SP","Am J Respir Crit Care Med","2009","2008/09/13","PMC2615660","","10.1164/rccm.200807-1042PP"
"33993982","MiRNA-26a inhibits myocardial infarction-induced apoptosis by targeting PTEN via JAK/STAT pathways","Wang J, Feng Q, Liang D, Shi J.","Cells Dev. 2021 Mar;165:203661. doi: 10.1016/j.cdev.2021.203661. Epub 2021 Jan 26.","Wang J","Cells Dev","2021","2021/05/17","","","10.1016/j.cdev.2021.203661"
"31144180","Correlation between pri-miR-124 (rs531564) polymorphism and congenital heart disease susceptibility in Chinese population at two different altitudes: a case-control and in silico study","Yang W, Yi K, Yu H, Ding Y, Li D, Wei Y, You T, Xie X.","Environ Sci Pollut Res Int. 2019 Jul;26(21):21983-21992. doi: 10.1007/s11356-019-05350-4. Epub 2019 May 29.","Yang W","Environ Sci Pollut Res Int","2019","2019/05/31","PMC6657426","","10.1007/s11356-019-05350-4"
"31902369","Multi-level transcriptome sequencing identifies COL1A1 as a candidate marker in human heart failure progression","Hua X, Wang YY, Jia P, Xiong Q, Hu Y, Chang Y, Lai S, Xu Y, Zhao Z, Song J.","BMC Med. 2020 Jan 6;18(1):2. doi: 10.1186/s12916-019-1469-4.","Hua X","BMC Med","2020","2020/01/07","PMC6943904","","10.1186/s12916-019-1469-4"
"27213338","MicroRNA-19b Downregulates Gap Junction Protein Alpha1 and Synergizes with MicroRNA-1 in Viral Myocarditis","Lin J, Xue A, Li L, Li B, Li Y, Shen Y, Sun N, Chen R, Xu H, Zhao Z.","Int J Mol Sci. 2016 May 18;17(5):741. doi: 10.3390/ijms17050741.","Lin J","Int J Mol Sci","2016","2016/05/24","PMC4881563","","10.3390/ijms17050741"
"18988904","The emerging role of microRNAs in cardiac remodeling and heart failure","Divakaran V, Mann DL.","Circ Res. 2008 Nov 7;103(10):1072-83. doi: 10.1161/CIRCRESAHA.108.183087.","Divakaran V","Circ Res","2008","2008/11/08","PMC3982911","NIHMS127167","10.1161/CIRCRESAHA.108.183087"
"25501599","miR-361-regulated prohibitin inhibits mitochondrial fission and apoptosis and protects heart from ischemia injury","Wang K, Liu CY, Zhang XJ, Feng C, Zhou LY, Zhao Y, Li PF.","Cell Death Differ. 2015 Jun;22(6):1058-68. doi: 10.1038/cdd.2014.200. Epub 2014 Dec 12.","Wang K","Cell Death Differ","2015","2014/12/16","PMC4423187","","10.1038/cdd.2014.200"
"36574372","Prospective pilot study on the predictive significance of plasma miR-30b-5p through the study of echocardiographic modifications in Cavalier King Charles Spaniels affected by different stages of myxomatous mitral valve disease: The PRIME study","Ghilardi S, Lecchi C, Bagardi M, Romito G, Colombo FM, Polli M, Franco C, Brambilla PG.","PLoS One. 2022 Dec 27;17(12):e0274724. doi: 10.1371/journal.pone.0274724. eCollection 2022.","Ghilardi S","PLoS One","2022","2022/12/27","PMC9794076","","10.1371/journal.pone.0274724"
"35837763","Serum microRNAs are key predictors of long-term heart failure and cardiovascular death after myocardial infarction","Rincón LM, Rodríguez-Serrano M, Conde E, Lanza VF, Sanmartín M, González-Portilla P, Paz-García M, Del Rey JM, Menacho M, García Bermejo ML, Zamorano JL.","ESC Heart Fail. 2022 Oct;9(5):3367-3379. doi: 10.1002/ehf2.13919. Epub 2022 Jul 15.","Rincón LM","ESC Heart Fail","2022","2022/07/15","PMC9715833","","10.1002/ehf2.13919"
"29176317","Downregulated MicroRNA-195 in the Bicuspid Aortic Valve Promotes Calcification of Valve Interstitial Cells via Targeting SMAD7","Du J, Zheng R, Xiao F, Zhang S, He K, Zhang J, Shao Y.","Cell Physiol Biochem. 2017;44(3):884-896. doi: 10.1159/000485356. Epub 2017 Nov 24.","Du J","Cell Physiol Biochem","2017","2017/11/28","","","10.1159/000485356"
"24896535","Getting pumped about heart failure","Mann DL.","Cell Metab. 2014 Jun 3;19(6):896-7. doi: 10.1016/j.cmet.2014.05.008.","Mann DL","Cell Metab","2014","2014/06/05","PMC4105985","NIHMS601934","10.1016/j.cmet.2014.05.008"
"32581152","Bone Marrow Mesenchymal Stem Cell-Derived Exosomal miRNA-29c Decreases Cardiac Ischemia/Reperfusion Injury Through Inhibition of Excessive Autophagy via the PTEN/Akt/mTOR Signaling Pathway","Li T, Gu J, Yang O, Wang J, Wang Y, Kong J.","Circ J. 2020 Jul 22;84(8):1304-1311. doi: 10.1253/circj.CJ-19-1060. Epub 2020 Jun 25.","Li T","Circ J","2020","2020/06/26","","","10.1253/circj.CJ-19-1060"
"33670982","Nourin-Dependent miR-137 and miR-106b: Novel Early Inflammatory Diagnostic Biomarkers for Unstable Angina Patients","Elgebaly SA, Christenson RH, Kandil H, El-Khazragy N, Rashed L, Yacoub B, Eldeeb H, Ali M, Sharafieh R, Klueh U, Kreutzer DL.","Biomolecules. 2021 Feb 28;11(3):368. doi: 10.3390/biom11030368.","Elgebaly SA","Biomolecules","2021","2021/03/06","PMC7997347","","10.3390/biom11030368"
"36967385","Exosomes secreted from cardiomyocytes suppress the sensitivity of tumor ferroptosis in ischemic heart failure","Yuan Y, Mei Z, Qu Z, Li G, Yu S, Liu Y, Liu K, Shen Z, Pu J, Wang Y, Wang C, Sun Z, Liu Q, Pang X, Wang A, Ren Z, Wang T, Liu Y, Hong J, Xie J, Li X, Wang Z, Du W, Yang B.","Signal Transduct Target Ther. 2023 Mar 27;8(1):121. doi: 10.1038/s41392-023-01336-4.","Yuan Y","Signal Transduct Target Ther","2023","2023/03/26","PMC10040407","","10.1038/s41392-023-01336-4"
"36401373","miR-195-3p/BDNF axis regulates hypoxic injury by targeting P-ERK1/2 expression","Zhang W, Liu B, Wang Y, Sun Phd L, Liu C, Zhang H, Qin W, Liu J, Han L, Shan W.","Medicine (Baltimore). 2022 Nov 18;101(46):e31586. doi: 10.1097/MD.0000000000031586.","Zhang W","Medicine (Baltimore)","2022","2022/11/19","PMC9678563","","10.1097/MD.0000000000031586"
"37105319","Role of microRNAs in arrhythmogenic cardiomyopathy: translation as biomarkers into clinical practice","Alcalde M, Toro R, Bonet F, Córdoba-Caballero J, Martínez-Barrios E, Ranea JA, Vallverdú-Prats M, Brugada R, Meraviglia V, Bellin M, Sarquella-Brugada G, Campuzano O.","Transl Res. 2023 Sep;259:72-82. doi: 10.1016/j.trsl.2023.04.003. Epub 2023 Apr 25.","Alcalde M","Transl Res","2023","2023/04/27","","","10.1016/j.trsl.2023.04.003"
"24040857","Circulating microRNA expression profile and systemic right ventricular function in adults after atrial switch operation for complete transposition of the great arteries","Lai CT, Ng EK, Chow PC, Kwong A, Cheung YF.","BMC Cardiovasc Disord. 2013 Sep 16;13:73. doi: 10.1186/1471-2261-13-73.","Lai CT","BMC Cardiovasc Disord","2013","2013/09/18","PMC3847493","","10.1186/1471-2261-13-73"
"20837903","MicroRNA-210 as a novel therapy for treatment of ischemic heart disease","Hu S, Huang M, Li Z, Jia F, Ghosh Z, Lijkwan MA, Fasanaro P, Sun N, Wang X, Martelli F, Robbins RC, Wu JC.","Circulation. 2010 Sep 14;122(11 Suppl):S124-31. doi: 10.1161/CIRCULATIONAHA.109.928424.","Hu S","Circulation","2010","2010/09/15","PMC2952325","NIHMS229261","10.1161/CIRCULATIONAHA.109.928424"
"35792203","MicroRNA-223-3p promotes pyroptosis of cardiomyocyte and release of inflammasome factors via downregulating the expression level of SPI1 (PU.1)","Zhao S, Tan Y, Qin J, Xu H, Liu L, Wan H, Zhang C, Fan W, Qu S.","Toxicology. 2022 Jun 30;476:153252. doi: 10.1016/j.tox.2022.153252. Epub 2022 Jul 2.","Zhao S","Toxicology","2022","2022/07/06","","","10.1016/j.tox.2022.153252"
"26683101","Identification of cardiac-related circulating microRNA profile in human chronic heart failure","Li H, Fan J, Yin Z, Wang F, Chen C, Wang DW.","Oncotarget. 2016 Jan 5;7(1):33-45. doi: 10.18632/oncotarget.6631.","Li H","Oncotarget","2016","2015/12/20","PMC4807981","","10.18632/oncotarget.6631"
"31240830","miR-1, miR-499 and miR-208 are sensitive markers to diagnose sudden death due to early acute myocardial infarction","Pinchi E, Frati P, Aromatario M, Cipolloni L, Fabbri M, La Russa R, Maiese A, Neri M, Santurro A, Scopetti M, Viola RV, Turillazzi E, Fineschi V.","J Cell Mol Med. 2019 Sep;23(9):6005-6016. doi: 10.1111/jcmm.14463. Epub 2019 Jun 26.","Pinchi E","J Cell Mol Med","2019","2019/06/27","PMC6714215","","10.1111/jcmm.14463"
"32392228","Investigating gene-microRNA networks in atrial fibrillation patients with mitral valve regurgitation","Larupa Santos J, Rodríguez I, S Olesen M, Hjorth Bentzen B, Schmitt N.","PLoS One. 2020 May 11;15(5):e0232719. doi: 10.1371/journal.pone.0232719. eCollection 2020.","Larupa Santos J","PLoS One","2020","2020/05/12","PMC7213724","","10.1371/journal.pone.0232719"
"29719295","Serum Exosomal MiR-92b-5p as a Potential Biomarker for Acute Heart Failure Caused by Dilated Cardiomyopathy","Wu T, Chen Y, Du Y, Tao J, Zhou Z, Yang Z.","Cell Physiol Biochem. 2018;46(5):1939-1950. doi: 10.1159/000489383. Epub 2018 Apr 26.","Wu T","Cell Physiol Biochem","2018","2018/05/03","","","10.1159/000489383"
